BvBmsy,FvFmsy,i_rights
1.25,0,ITQ
1.28,0,ITQ
1.3,0.076,ITQ
1.32,0.148,ITQ
1.33,0.241,ITQ
1.34,0.224,ITQ
1.34,0.101,ITQ
1.34,0.089,ITQ
1.34,0.129,ITQ
1.33,0.141,ITQ
1.31,0.266,ITQ
1.29,0.305,ITQ
1.26,0.362,ITQ
1.23,0.272,ITQ
1.2,0.332,ITQ
1.16,0.23,ITQ
1.14,0.379,ITQ
1.1,0.869,ITQ
1.06,0.9,ITQ
1.02,0.793,ITQ
0.983,1.07,ITQ
0.983,1.07,ITQ
0.983,1.07,ITQ
0.983,1.07,ITQ
0.983,1.07,ITQ
0.983,1.07,ITQ
0.983,1.07,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.5,0,ITQ
2.41,0,ITQ
2.34,0.269,ITQ
2.24,0.351,ITQ
2.17,0.384,ITQ
2.12,0.565,ITQ
2.07,0.477,ITQ
2.08,0.549,ITQ
2.04,1.19,ITQ
1.92,1.57,ITQ
1.7,1.67,ITQ
1.45,1.33,ITQ
1.33,0.962,ITQ
1.33,0.747,ITQ
1.48,0.963,ITQ
1.56,1.15,ITQ
1.55,2.26,ITQ
1.34,3.34,ITQ
1.17,3.26,ITQ
1.24,2.07,ITQ
1.43,1.28,ITQ
1.43,1.28,ITQ
1.43,1.28,ITQ
1.43,1.28,ITQ
1.43,1.28,ITQ
1.43,1.28,ITQ
1.43,1.28,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
1.91,0,ITQ
1.77,0,ITQ
1.66,0,ITQ
1.57,0,ITQ
1.54,0,ITQ
1.59,0,ITQ
1.68,0,ITQ
1.86,0,ITQ
2.02,0,ITQ
2.15,0,ITQ
1.98,0,ITQ
1.82,0,ITQ
1.46,0,ITQ
1.18,0,ITQ
0.943,0,ITQ
0.838,0.002,ITQ
0.851,0.008,ITQ
0.923,0.014,ITQ
0.933,0.021,ITQ
0.8,0.034,ITQ
0.619,0.008,ITQ
0.532,0.108,ITQ
0.451,0.03,ITQ
0.383,0.072,ITQ
0.281,0.081,ITQ
0.235,0.168,ITQ
0.262,0.332,ITQ
0.287,0.463,ITQ
0.27,0.593,ITQ
0.216,0.673,ITQ
0.17,0.57,ITQ
0.138,0.401,ITQ
0.131,0.178,ITQ
0.133,0.117,ITQ
0.14,0.057,ITQ
0.144,0.11,ITQ
0.154,0.062,ITQ
0.189,0.066,ITQ
0.249,0.051,ITQ
0.249,0.051,ITQ
0.249,0.051,ITQ
0.249,0.051,ITQ
0.249,0.051,ITQ
0.249,0.051,ITQ
1.63,0,ITQ
1.72,0,ITQ
1.86,0,ITQ
1.91,0,ITQ
1.89,0,ITQ
1.89,0,ITQ
1.99,0,ITQ
2,0,ITQ
1.92,0,ITQ
1.86,0,ITQ
1.85,0,ITQ
1.94,0,ITQ
2.04,0,ITQ
2.02,0,ITQ
2.03,0,ITQ
2.02,0,ITQ
1.92,0,ITQ
1.74,0,ITQ
1.67,0,ITQ
1.56,0,ITQ
1.5,0,ITQ
1.56,0,ITQ
1.73,0,ITQ
1.89,0,ITQ
1.97,0,ITQ
1.98,0,ITQ
1.93,0,ITQ
1.84,0,ITQ
1.76,0,ITQ
1.65,0,ITQ
1.52,0,ITQ
1.33,0,ITQ
1.19,0,ITQ
1.12,0,ITQ
1.07,0,ITQ
1,0,ITQ
0.975,1.88,ITQ
0.948,2.25,ITQ
0.895,2.86,ITQ
0.806,2.72,ITQ
0.724,2.12,ITQ
0.707,2.55,ITQ
0.665,1.82,ITQ
0.637,2.29,ITQ
0.578,2.63,ITQ
0.538,2.38,ITQ
0.508,3.08,ITQ
0.478,4.03,ITQ
0.433,3.11,ITQ
0.395,3.15,ITQ
0.351,3.73,ITQ
0.325,2.21,ITQ
0.318,2.65,ITQ
0.302,2.29,ITQ
0.28,2.38,ITQ
0.262,3.2,ITQ
0.268,3.2,ITQ
0.313,1.88,ITQ
0.313,1.88,ITQ
0.313,1.88,ITQ
0.313,1.88,ITQ
0.313,1.88,ITQ
0.313,1.88,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.07,0,ITQ
2.05,0,ITQ
2.03,0,ITQ
2,0,ITQ
1.96,0.001,ITQ
1.91,0,ITQ
1.86,0.002,ITQ
1.79,0.021,ITQ
1.71,0.081,ITQ
1.61,0.068,ITQ
1.57,0.062,ITQ
1.59,0.09,ITQ
1.56,0.1,ITQ
1.46,0.115,ITQ
1.4,0.511,ITQ
1.32,0.954,ITQ
1.24,0.457,ITQ
1.21,0.396,ITQ
1.21,0.769,ITQ
1.19,0.382,ITQ
1.15,0.327,ITQ
1.15,0.472,ITQ
1.16,0.593,ITQ
1.1,0.843,ITQ
0.998,1.05,ITQ
0.942,1.32,ITQ
0.854,2.49,ITQ
0.734,1.77,ITQ
0.663,1.97,ITQ
0.59,2.3,ITQ
0.59,2.3,ITQ
0.59,2.3,ITQ
0.59,2.3,ITQ
0.59,2.3,ITQ
0.59,2.3,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0,ITQ
2.08,0.004,ITQ
2.06,0.012,ITQ
1.99,0.002,ITQ
