SpeciesCat,SciName
12,Taeniolethrinops cyrtonotus
12,Tahuantinsuyoa macantzatza
12,Tangachromis dhanisi
12,Tanganicodus irsacae
12,Teleogramma brichardi
12,Telmatochromis bifrenatus
12,Telotrematocara macrostoma
12,Thysochromis annectens
12,Nannacara anomala
12,Apistogramma agassizii
12,Apistogramma trifasciata
12,Rhamphochromis brevis
12,Cichlidae
13,Neoceratodus forsteri
13,Lepidosiren paradoxa
13,Polypterus endlicheri
13,Polypterus senegalus
13,Erpetoichthys calabaricus
13,Protopterus aethiopicus
13,Protopterus annectens
13,Protopterus spp
13,Amia calva
13,Lepisosteus osseus
13,Lepisosteus platyrhincus
13,Lepisosteus platostomus
13,Lepisosteus oculatus
13,Atractosteus tristoechus
13,Atractosteus spatula
13,Atractosteus tropicus
13,Atractosteus spp
13,Lepisosteidae
13,Sundasalanx malleti
13,Stolothrissa tanganicae
13,Rhinosardinia amazonica
13,Odaxothrissa losera
13,Pellonula leonensis
13,Pellonula vorax
13,Clupeoides borneensis
13,Corica soborna
13,Cynothrissa ansorgii
13,Cynothrissa mento
13,Limnothrissa miodon
13,Potamalosa richmondia
13,Thrattidion noctivagus
13,Sierrathrissa leonensis
13,Microthrissa royauxi
13,Potamothrissa acutirostris
13,Poecilothrissa moeruensis
13,Nannothrissa parva
13,Clupeichthys aesarnensis
13,Clupeichthys goniognathus
13,Congothrissa gossei
13,Sauvagella madagascariensis
13,"Stolothrissa, Limnothrissa spp"
13,Amazonsprattus scintilla
13,Jurengraulis juruensis
13,Anchoviella alleni
13,Anchoviella guianensis
13,Anchoviella jamesi
13,Anchoviella nattereri
13,Anchoviella vaillanti
13,Anchoviella spp
13,Coilia brachygnathus
13,Setipinna phasa
13,Thryssa rastrosa
13,Denticeps clupeoides
13,Cromeria nilotica
13,Grasseichthys gabonensis
13,Kneria auriculata
13,Parakneria abbreviata
13,Phractolaemus ansorgii
13,Dallia pectoralis
13,Novumbra hubbsi
13,Umbra krameri
13,Esox lucius
13,Esox americanus
13,Esox reichertii
13,Arapaima gigas
13,Osteoglossum bicirrhosum
13,Scleropages jardinii
13,Scleropages formosus
13,Heterotis niloticus
13,Chitala chitala
13,Chitala lopis
13,Chitala blanci
13,Chitala ornata
13,Notopterus notopterus
13,Notopterus spp
13,Papyrocranus afer
13,Xenomystus nigri
13,Hiodon tergisus
13,Pantodon buchholzi
13,Boulengeromyrus knoepffleri
13,Brienomyrus brachyistius
13,Campylomormyrus elephas
13,Genyomyrus donnyi
13,Gnathonemus petersii
13,Heteromormyrus pauciradiatus
13,Hippopotamyrus discorhynchus
13,Hyperopisus bebe
13,Isichthys henryi
13,Ivindomyrus opdenboschi
13,Marcusenius abadii
13,Marcusenius macrolepidotus
13,Mormyrus rume
13,Mormyrus spp
13,Paramormyrops jacksoni
13,Petrocephalus catostoma
13,Pollimyrus isidori
13,Stomatorhinus ater
13,Mormyridae
13,Gymnarchus niloticus
13,Ammocryptocharax elegans
13,Acnodon normani
13,Aphyocharacidium melandetum
13,Hyphessobrycon axelrodi
13,Hyphessobrycon herbertaxelrodi
13,Astyanax fasciatus
13,Astyanax bimaculatus
13,Astyanax spp
13,Axelrodia riesei
13,Brycon atrocaudatus
13,Brycon amazonicus
13,Brycon cephalus
13,Brycon devillei
13,Brycon erythropterum
13,Brycon falcatus
13,Brycon hilarii
13,Brycon lundii
13,Brycon melanopterus
13,Brycon guatemalensis
13,Brycon nattereri
13,Brycon orbignyanus
13,Brycon pesu
13,Brycon dentex
13,Brycon moorei
13,Brycon insignis
13,Brycon spp
13,Boehlkea fredcochui
13,Hemigrammus rodwayi
13,Hemigrammus unilineatus
13,Hemigrammus caudovittatus
13,Myleus pacu
13,Mylossoma acanthogaster
13,Mylossoma aureum
13,Mylossoma duriventre
13,Salminus brasiliensis
13,Salminus hilarii
13,Bryconamericus beta
13,Pygocentrus nattereri
13,Pygocentrus piraya
13,Serrasalmus brandti
13,Serrasalmus elongatus
13,Serrasalmus rhombeus
13,Serrasalmus spilopleura
13,Serrasalmus spp
13,Cynopotamus argenteus
13,Tyttocharax madeirae
13,Aphyocharax erythrurus
13,Colossoma macropomum
13,Pygopristis denticulata
13,Bryconops affinis
13,Carlastyanax aurocaudatus
13,Catoprion mento
13,Chalceus erythrurus
13,Characidium fasciatum
13,Charax condei
13,Exodon paradoxus
13,Cheirodon pisciculus
13,Creagrutus beni
13,Corynopoma riisei
13,Gymnocorymbus ternetzi
13,Piaractus brachypomus
13,Piaractus mesopotamicus
13,P. mesopotamicus x P. brachypomus
13,Ctenobrycon spilurus
13,Crenuchus spilurus
13,Diapoma speculiferum
13,Elachocharax geryi
13,Gilbertolus alatus
13,Gnathocharax steindachneri
13,Gymnocharacinus bergii
13,Hasemania melanura
13,Hemibrycon dentatus
13,Holoshesthes pequira
13,Iguanodectes spilurus
13,Inpaichthys kerri
